시도,시군구,행정구역명,행정동(행정기관명),법정동,행정구역분류,행정기관코드,행정기관 생성일,법정동코드,행정동 영문명칭
서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,11,1100000000,19880423,1100000000,Seoul
서울특별시,종로구,종로구,종로구,종로구,11010,1111000000,19880423,1111000000,Jongno-gu
서울특별시,종로구,청운효자동,청운효자동,청운동,1101072,1111051500,20081101,1111010100,Cheongunhyoja-dong
서울특별시,종로구,청운효자동,청운효자동,신교동,1101072,1111051500,20081101,1111010200,Cheongunhyoja-dong
서울특별시,종로구,청운효자동,청운효자동,궁정동,1101072,1111051500,20081101,1111010300,Cheongunhyoja-dong
서울특별시,종로구,청운효자동,청운효자동,효자동,1101072,1111051500,20081101,1111010400,Cheongunhyoja-dong
서울특별시,종로구,청운효자동,청운효자동,창성동,1101072,1111051500,20081101,1111010500,Cheongunhyoja-dong
서울특별시,종로구,청운효자동,청운효자동,통인동,1101072,1111051500,20081101,1111010800,Cheongunhyoja-dong
서울특별시,종로구,청운효자동,청운효자동,누상동,1101072,1111051500,20081101,1111010900,Cheongunhyoja-dong
서울특별시,종로구,청운효자동,청운효자동,누하동,1101072,1111051500,20081101,1111011000,Cheongunhyoja-dong
서울특별시,종로구,청운효자동,청운효자동,옥인동,1101072,1111051500,20081101,1111011100,Cheongunhyoja-dong
서울특별시,종로구,청운효자동,청운효자동,세종로,1101072,1111051500,20081101,1111011900,Cheongunhyoja-dong
서울특별시,종로구,사직동,사직동,통의동,1101053,1111053000,19880423,1111010600,Sajik-dong
서울특별시,종로구,사직동,사직동,적선동,1101053,1111053000,19880423,1111010700,Sajik-dong
서울특별시,종로구,사직동,사직동,체부동,1101053,1111053000,19880423,1111011200,Sajik-dong
서울특별시,종로구,사직동,사직동,필운동,1101053,1111053000,19880423,1111011300,Sajik-dong
서울특별시,종로구,사직동,사직동,내자동,1101053,1111053000,19880423,1111011400,Sajik-dong
서울특별시,종로구,사직동,사직동,사직동,1101053,1111053000,19880423,1111011500,Sajik-dong
서울특별시,종로구,사직동,사직동,도렴동,1101053,1111053000,19880423,1111011600,Sajik-dong
서울특별시,종로구,사직동,사직동,당주동,1101053,1111053000,19880423,1111011700,Sajik-dong
서울특별시,종로구,사직동,사직동,내수동,1101053,1111053000,19880423,1111011800,Sajik-dong
서울특별시,종로구,사직동,사직동,세종로,1101053,1111053000,19880423,1111011900,Sajik-dong
서울특별시,종로구,사직동,사직동,신문로1가,1101053,1111053000,19880423,1111012000,Sajik-dong
서울특별시,종로구,사직동,사직동,신문로2가,1101053,1111053000,19880423,1111012100,Sajik-dong
서울특별시,종로구,삼청동,삼청동,팔판동,1101054,1111054000,19880423,1111013900,Samcheong-dong
서울특별시,종로구,삼청동,삼청동,삼청동,1101054,1111054000,19880423,1111014000,Samcheong-dong
서울특별시,종로구,삼청동,삼청동,안국동,1101054,1111054000,19880423,1111014100,Samcheong-dong
